學年度,階段,學號,宿舍,房號
99,第一志願, 9714048,十三宿,410
99,第一志願, 9714059,十三宿,410
99,第一志願, 9714087,十三宿,410
99,第一志願,9823023,十三宿,413
99,第一志願, 9823159,十三宿,413
99,第一志願, 9823167,十三宿,413
99,第一志願, 9823189,十三宿,413
99,第一志願,9821104,十三宿,414
99,第一志願, 9821105,十三宿,414
99,第一志願, 9821124,十三宿,414
99,第一志願, 9821125,十三宿,414
99,第一志願,9717036,十三宿,420
99,第一志願, 9717176,十三宿,420
99,第一志願, 9717180,十三宿,420
99,第一志願, 9717252,十三宿,420
99,第一志願,9823002,十三宿,421
99,第一志願, 9823086,十三宿,421
99,第一志願, 9823129,十三宿,421
99,第一志願, 9823162,十三宿,421
99,第一志願,9624009,十三宿,504
99,第一志願, 9624017,十三宿,504
99,第一志願, 9624023,十三宿,504
99,第一志願, 9624025,十三宿,504
99,第一志願,9832001,十三宿,510
99,第一志願, 9832006,十三宿,510
99,第一志願, 9832015,十三宿,510
99,第一志願, 9832020,十三宿,510
99,第一志願,9823043,十三宿,511
99,第一志願, 9823074,十三宿,511
99,第一志願, 9823093,十三宿,511
99,第一志願, 9823168,十三宿,511
99,第一志願,9714011,十三宿,512
99,第一志願, 9817012,十三宿,512
99,第一志願, 9817078,十三宿,512
99,第一志願, 9817097,十三宿,512
99,第一志願,9814025,十三宿,518
99,第一志願, 9823089,十三宿,518
99,第一志願, 9823100,十三宿,518
99,第一志願, 9823171,十三宿,518
99,第一志願,9811051,十三宿,520
99,第一志願, 9816004,十三宿,520
99,第一志願, 9816093,十三宿,520
99,第一志願, 9816097,十三宿,520
99,第一志願,9821001,十三宿,521
99,第一志願, 9821005,十三宿,521
99,第一志願, 9821128,十三宿,521
99,第一志願, 9821139,十三宿,521
99,第一志願,9717177,十三宿,523
99,第一志願, 9717242,十三宿,523
99,第一志願, 9717246,十三宿,523
99,第一志願, 9717258,十三宿,523
99,第一志願,9614009,十三宿,524
99,第一志願, 9614024,十三宿,524
99,第一志願, 9614068,十三宿,524
99,第一志願, 9614081,十三宿,524
99,第一志願,9614108,十三宿,602
99,第一志願, 9624037,十三宿,602
99,第一志願, 9713103,十三宿,602
99,第一志願, 9714110,十三宿,602
99,第一志願,9717038,十三宿,606
99,第一志願, 9717057,十三宿,606
99,第一志願, 9717147,十三宿,606
99,第一志願, 9717245,十三宿,606
99,第一志願,9817072,十三宿,608
99,第一志願, 9817142,十三宿,608
99,第一志願, 9817146,十三宿,608
99,第一志願, 9817159,十三宿,608
99,第一志願,9713034,十三宿,609
99,第一志願, 9713066,十三宿,609
99,第一志願, 9713079,十三宿,609
99,第一志願, 9713080,十三宿,609
99,第一志願,9632018,十三宿,611
99,第一志願, 9716040,十三宿,611
99,第一志願, 9716045,十三宿,611
99,第一志願, 9753039,十三宿,611
99,第一志願,9811009,十三宿,612
99,第一志願, 9811057,十三宿,612
99,第一志願, 9811077,十三宿,612
99,第一志願, 9853036,十三宿,612
99,第一志願,9832017,十三宿,618
99,第一志願, 9832019,十三宿,618
99,第一志願, 9832036,十三宿,618
99,第一志願, 9832044,十三宿,618
99,第一志願,9713002,十三宿,619
99,第一志願, 9713041,十三宿,619
99,第一志願, 9713059,十三宿,619
99,第一志願, 9713063,十三宿,619
99,第一志願,9618030,十三宿,623
99,第一志願, 9631001,十三宿,623
99,第一志願, 9631042,十三宿,623
99,第一志願, 9831030,十三宿,623
99,第一志願,9816105,十三宿,704
99,第一志願, 9817203,十三宿,704
99,第一志願, 9824038,十三宿,704
99,第一志願, 9832052,十三宿,704
99,第一志願,9821018,十三宿,705
99,第一志願, 9821038,十三宿,705
99,第一志願, 9821041,十三宿,705
99,第一志願, 9821115,十三宿,705
99,第一志願,9613062,十三宿,708
99,第一志願, 9713029,十三宿,708
99,第一志願, 9713054,十三宿,708
99,第一志願, 9713055,十三宿,708
99,第一志願,9811019,十三宿,709
99,第一志願, 9811038,十三宿,709
99,第一志願, 9811048,十三宿,709
99,第一志願, 9811062,十三宿,709
99,第一志願,9714014,十三宿,711
99,第一志願, 9714042,十三宿,711
